name_product,status_product,price_product,article_qty,profile_name,provincia_product,localidad_product,link_product,profile_link
Sony Ps4 Playstation 4 Slim 1tb 2 Joystick Auricular Gammer,Usado,162.993,6,ROCA_SOUND,Capital Federal,CABA,https://articulo.mercadolibre.com.ar/MLA-1288639828-sony-ps4-playstation-4-slim-1tb-2-joystick-auricular-gammer-_JM#position=24&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/ROCA_SOUND
Reparación Ps4 Ps3 Ps2 Ps5 / Capital Federal,Usado,500,4,COPA237939,Capital Federal,Caba,https://articulo.mercadolibre.com.ar/MLA-1146010574-reparacion-ps4-ps3-ps2-ps5-capital-federal-_JM#position=25&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/COPA237939
Ps4 Pro 500millones Impecable En Caja,Usado,299.000,,NICML2021,Capital Federal,Barracas,https://articulo.mercadolibre.com.ar/MLA-1160703134-ps4-pro-500millones-impecable-en-caja-_JM#position=26&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/NICML2021
Consola Sony Playstation 4 Pro 1tb + 4 Juegos Fisico Navidad,Usado,249.999,,FABIPACCARA,Buenos Aires,Lomas De Zamora,https://articulo.mercadolibre.com.ar/MLA-1276927005-consola-sony-playstation-4-pro-1tb-4-juegos-fisico-navidad-_JM#position=27&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/FABIPACCARA
Playstation 4 Pro Edición Limitada God Of War,Usado,190.000,,MAXIMILIANOPASSARO,Buenos Aires,Boulogne,https://articulo.mercadolibre.com.ar/MLA-1254981283-playstation-4-pro-edicion-limitada-god-of-war-_JM#position=28&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/MAXIMILIANOPASSARO
Sony Playstation 4 Pro 1tb Standard Traida De Estados Unidos,Usado,160.000,,LA-TIENDA+DE-WALLO,Capital Federal,Boedo,https://articulo.mercadolibre.com.ar/MLA-1157309740-sony-playstation-4-pro-1tb-standard-traida-de-estados-unidos-_JM#position=29&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/LA-TIENDA+DE-WALLO
Ps4 Pro Edicion Limitada 500 Millones,Usado,200.000,,ARED7235394,Buenos Aires,Temperley,https://articulo.mercadolibre.com.ar/MLA-1198895009-ps4-pro-edicion-limitada-500-millones-_JM#position=30&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/ARED7235394
Sony Ps4 Playstation 4 Pro 1tb + 2 Joystick Originales 4k,Usado,170.000,,TUTE00,Capital Federal,Almagro,https://articulo.mercadolibre.com.ar/MLA-1176479823-sony-ps4-playstation-4-pro-1tb-2-joystick-originales-4k-_JM#position=31&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/TUTE00
"Ps4 Pro Cfw 9.0 Con Pt, Bloodborne 60 Fps, Berserk Y Otros",Usado,199.999,,GATUN8,Buenos Aires,Transradio 9 De Abril,https://articulo.mercadolibre.com.ar/MLA-1169085651-ps4-pro-cfw-90-con-pt-bloodborne-60-fps-berserk-y-otros-_JM#position=32&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/GATUN8
Playstation 4 1 Tb + Juegos + Joystick + Cables,Usado,175.000,,JUANFAH,Capital Federal,Parque Patricios,https://articulo.mercadolibre.com.ar/MLA-1243677890-playstation-4-1-tb-juegos-joystick-cables-_JM#position=33&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/JUANFAH
Playstation 4 + 3 Joysticks + Juegos. Usada Impecable.,Usado,145.000,,AUTOMOVILES+ALMAFUERTE,Entre Ríos,Paraná,https://articulo.mercadolibre.com.ar/MLA-1287992774-playstation-4-3-joysticks-juegos-usada-impecable-_JM#position=34&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/AUTOMOVILES+ALMAFUERTE
